School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Olivet Academy;;;6 Barclay Street;private;PK-7;25;N/A;;/new-york/new-york/18764-Olivet-Academy/
Professional Childrens School;;;132 West 60th Street;private;6-12;176;N/A;;/new-york/new-york/18772-Professional-Childrens-School/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Rudolf Steiner School;;;15 East 79th Street;private;PK-12;299;N/A;;/new-york/new-york/18774-Rudolf-Steiner-School/
Sara Curry Day School;;;93 Saint Marks Place;private;K-3;10;N/A;;/new-york/new-york/18775-Sara-Curry-Day-School/
The Chaplin School;;;100 East End Avenue;private;K-12;802;N/A;;/new-york/new-york/18800-The-Chaplin-School/
The Geneva School of Manhattan;;;138 West 90th Street;private;PK-8;274;N/A;;/new-york/new-york/18801-The-Geneva-School-Of-Manhattan/
United Cerebral Palsy of New York City;;;80 Maiden Lane;private;PK;1197;N/A;;/new-york/new-york/18808-United-Cerebral-Palsy-Of-New-York-City/
Wetherby-Pembridge School The;;;7 East 96th Street;private;PK-6;56;N/A;;/new-york/new-york/18813-Wetherby-Pembridge-School-The/
Windward School the - NYC;;;212 East 93rd Street;private;1-8;343;N/A;;/new-york/new-york/18815-Windward-School-The---NYC/
Marta Valle High School;;;145 Stanton Street;public;9-12 & Ungraded;126;10;New York City Geographic District # 1;/new-york/new-york/1882-Marta-Valle-High-School/
Ps 50 Vito Marcantonio;;;433 East 100th Street;public;K-8;252;8;New York City Geographic District # 4;/new-york/new-york/2199-Ps-50-Vito-Marcantonio/
Ps 112 Jose Celso Barbosa;;;535 East 119th Street;public;PK, K-2;318;5;New York City Geographic District # 4;/new-york/new-york/2381-Ps-112-Jose-Celso-Barbosa/
Ps 208 Alain L Locke;;;21 West 111th Street;public;3-5;127;9;New York City Geographic District # 3;/new-york/new-york/2644-Ps-208-Alain-L-Locke/
Sacred Heart Of Jesus School;;;456 West 52nd Street;private;PK, K-8;250;N/A;;/new-york/new-york/4234-Sacred-Heart-Of-Jesus-School/
La Salle Academy;;;215 East 6th Street;private;9-12;302;N/A;;/new-york/new-york/4236-La-Salle-Academy/
St Joseph School;;;1 Monroe Street;private;PK, K-8;205;N/A;;/new-york/new-york/4251-St-Joseph-School/
St Mark The Evangelist School;;;55 West 138th Street;private;PK-8;238;N/A;;/new-york/new-york/4254-St-Mark-The-Evangelist-School/
St Paul School;;;114 East 118th Street;private;PK-8;216;N/A;;/new-york/new-york/4256-St-Paul-School/
St Rose Of Lima School;;;517 West 164th Street;private;PK-8;163;N/A;;/new-york/new-york/4259-St-Rose-Of-Lima-School/
St. Stephen of Hungary School;;;408 East 82nd Street;private;PK-8;365;N/A;;/new-york/new-york/4260-St.-Stephen-Of-Hungary-School/
St Vincent Ferrer High School;;;151 East 65th Street;private;9-12;433;N/A;;/new-york/new-york/4261-St-Vincent-Ferrer-High-School/
Transfiguration School;;;29 Mott Street;private;PK-8;428;N/A;;/new-york/new-york/4262-Transfiguration-School/
Xavier High School;;;30 West 16th Street;private;9-12;1063;N/A;;/new-york/new-york/4264-Xavier-High-School/
St. Gregory the Great School;;;138 W 90th St;private;PK, K-8;205;N/A;;/new-york/new-york/4275-St.-Gregory-The-Great-School/
St. Elizabeth School;;;612 West 187th Street;private;PK-8;343;N/A;;/new-york/new-york/4278-St.-Elizabeth-School/
St Aloysius School;;;223 West 132nd Street;private;PK, K-8;197;N/A;;/new-york/new-york/4280-St-Aloysius-School/
St. Agnes Boys High School;;;555 West End Avenue;private;9-12;250;N/A;;/new-york/new-york/4281-St.-Agnes-Boys-High-School/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Regis High School;;;55 East 84th Street;private;9-12;530;N/A;;/new-york/new-york/4282-Regis-High-School/
Our Lady of Lourdes School;;;468 West 143rd Street;private;PK-8;333;N/A;;/new-york/new-york/4284-Our-Lady-Of-Lourdes-School/
Notre Dame School;;;327 West 13th Street;private;9-12;352;N/A;;/new-york/new-york/4285-Notre-Dame-School/
Mother Cabrini High School;;;701 Fort Washington Avenue;private;9-12;296;N/A;;/new-york/new-york/4286-Mother-Cabrini-High-School/
Loyola School;;;980 Park Avenue;private;9-12;208;N/A;;/new-york/new-york/4287-Loyola-School/
Incarnation School;;;570 West 175th Street;private;PK-8;310;N/A;;/new-york/new-york/4288-Incarnation-School/
Immaculate Conception School;;;419 East 13th Street;private;PK-8;215;N/A;;/new-york/new-york/4289-Immaculate-Conception-School/
Holy Cross School;;;332 West 43rd Street;private;PK, K-8;188;N/A;;/new-york/new-york/4291-Holy-Cross-School/
Guardian Angel School;;;193 10th Avenue;private;PK, K-8;208;N/A;;/new-york/new-york/4292-Guardian-Angel-School/
Good Shepherd School;;;620 Isham Street;private;PK, K-8;162;N/A;;/new-york/new-york/4293-Good-Shepherd-School/
Dominican Academy;;;44 E 68th St;private;9-12;0;N/A;;/new-york/new-york/4294-Dominican-Academy/
Cathedral High School;;;350 East 56th Street;private;9-12;556;N/A;;/new-york/new-york/4337-Cathedral-High-School/
Annunciation School;;;461 West 131st Street;private;K-8;204;N/A;;/new-york/new-york/4339-Annunciation-School/
Our Lady Of Mercy School;;;2512 Marion Avenue;private;PK, K-8;232;N/A;;/new-york/new-york/4385-Our-Lady-Of-Mercy-School/
School Of The Blessed Sacrament School;;;147 West 70th Street;private;PK-8;0;N/A;;/new-york/new-york/4400-School-Of-The-Blessed-Sacrament-School/
Convent of the Sacred Heart;;;1 E 91st St;private;PK, K-12;0;N/A;;/new-york/new-york/4401-Convent-Of-The-Sacred-Heart/
Our Lady of Good Counsel;;;323 E 91st St;private;K-8;0;N/A;;/new-york/new-york/4403-Our-Lady-Of-Good-Counsel/
Our Lady Queen of Martyrs;;;71 Arden Street;private;PK-8;270;N/A;;/new-york/new-york/4404-Our-Lady-Queen-Of-Martyrs/
St Ann School;;;314 East 110th Street;private;PK-8;214;N/A;;/new-york/new-york/4405-St-Ann-School/
St. Brigid School;;;185 E 7th St;private;PK, K-8;0;N/A;;/new-york/new-york/4407-St.-Brigid-School/
Academy Of Saint Joseph;;;111 Washington Place;private;PK-8;75;N/A;;/new-york/new-york/4409-Academy-Of-Saint-Joseph/
Epiphany Elementary School;;;234 East 22nd Street;private;PK, K-8;552;N/A;;/new-york/new-york/4440-Epiphany-Elementary-School/
Mount Carmel-Holy Rosary School;;;371 Pleasant Avenue;private;PK-8;183;N/A;;/new-york/new-york/4441-Mount-Carmel-Holy-Rosary-School/
Our Lady of Pompeii School;;;240 Bleecker Street;private;PK-8;127;N/A;;/new-york/new-york/4442-Our-Lady-Of-Pompeii-School/
Our Lady Queen of Angels School;;;229 East 112th Street;private;PK-8;300;N/A;;/new-york/new-york/4443-Our-Lady-Queen-Of-Angels-School/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Corpus Christi School;;;535 West 121st Street;private;PK-8;170;N/A;;/new-york/new-york/4462-Corpus-Christi-School/
St. Charles Borromeo;;;214 West 142nd Street;private;PK-8;275;N/A;;/new-york/new-york/4471-St.-Charles-Borromeo/
St. Joseph's School-Yorkville;;;420 E 87th St;private;PK, K-8;0;N/A;;/new-york/new-york/4476-St.-Josephs-School-Yorkville/
Holy Name Of Jesus School;;;241 Prospect Park West;private;PK, K-8;239;N/A;;/new-york/new-york/4547-Holy-Name-Of-Jesus-School/
Friends Seminary;;;222 East 16th Street;private;K-12;779;N/A;;/new-york/new-york/4976-Friends-Seminary/
St Lukes School;;;487 Hudson Street;private;PK-8;325;N/A;;/new-york/new-york/4977-St-Lukes-School/
Yeshiva University High School;;;2540 Amsterdam Avenue;private;9-12;323;N/A;;/new-york/new-york/5000-Yeshiva-University-High-School/
Beth Jacob Parochial School;;;142 Broome Street;private;PK-8;178;N/A;;/new-york/new-york/5010-Beth-Jacob-Parochial-School/
The Cathedral School;;;319 East 74th Street;private;K-8;53;N/A;;/new-york/new-york/5033-The-Cathedral-School/
Manhattan Country School;;;150 West 85th Street;private;PK, K-8;0;N/A;;/new-york/new-york/5036-Manhattan-Country-School/
Rudolf Steiner School;;;15 E 79th St;private;PK, K-12;0;N/A;;/new-york/new-york/5071-Rudolf-Steiner-School/
The Cathedral School of St. John the Divine;;;1047 Amsterdam Avenue;private;K-8;291;N/A;;/new-york/new-york/5077-The-Cathedral-School-Of-St.-John-The-Divine/
Manhattan Day School;;;310 West 75th Street;private;PK-8;444;N/A;;/new-york/new-york/5079-Manhattan-Day-School/
Professional Children's School;;;132 West 60th Street;private;6-12;196;N/A;;/new-york/new-york/5086-Professional-Childrens-School/
Alexander Robertson School;;;3 West 95th Street;private;PK-5;48;N/A;;/new-york/new-york/5087-Alexander-Robertson-School/
The Allen-Stevenson School;;;132 East 78th Street;private;K-8;421;N/A;;/new-york/new-york/5088-The-Allen-Stevenson-School/
The Churchill School and Center;;;301 East 29th Street;private;K-12;399;N/A;;/new-york/new-york/5094-The-Churchill-School-And-Center/
Robert Louis Stevenson School;;;24 West 74th Street;private;7-12;75;N/A;;/new-york/new-york/5096-Robert-Louis-Stevenson-School/
Ramaz Lower School;;;125 E 85th St;private;PK, K-4;0;N/A;;/new-york/new-york/5106-Ramaz-Lower-School/
St Hilda's & St Hugh's School;;;619 West 114th Street;private;PK, K-8;375;N/A;;/new-york/new-york/5131-St-Hildas--St-Hughs-School/
Grace Church School;;;86 4th Avenue;private;PK-12;780;N/A;;/new-york/new-york/5132-Grace-Church-School/
Nightingale-Bamford School;;;20 East 92nd Street;private;K-12;669;N/A;;/new-york/new-york/5134-Nightingale-Bamford-School/
Bank Street School for Children;;;610 West 112th Street;private;PK-8;448;N/A;;/new-york/new-york/5143-Bank-Street-School-For-Children/
The Hewitt School;;;45 East 75th Street;private;K-12;522;N/A;;/new-york/new-york/5147-The-Hewitt-School/
Brearley School;;;610 East 83rd Street;private;K-12;748;N/A;;/new-york/new-york/5153-Brearley-School/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Ethical Culture-Fieldston School;;;33 Central Park West;private;PK-12;1714;N/A;;/new-york/new-york/5154-Ethical-Culture-Fieldston-School/
St Bernards School;;;4 East 98th Street;private;K-9;365;N/A;;/new-york/new-york/5160-St-Bernards-School/
The Spence School;;;22 East 91st Street;private;K-12;755;N/A;;/new-york/new-york/5161-The-Spence-School/
The Browning School;;;52 East 62nd Street;private;K-12;418;N/A;;/new-york/new-york/5162-The-Browning-School/
Collegiate School;;;301 Freedom Place South;private;K-12;656;N/A;;/new-york/new-york/5164-Collegiate-School/
The Town School;;;540 East 76th Street;private;PK-8;384;N/A;;/new-york/new-york/5165-The-Town-School/
The Caedmon School;;;416 East 80th Street;private;PK-5;227;N/A;;/new-york/new-york/5173-The-Caedmon-School/
Columbia Grammar & Preparatory School;;;5 West 93rd Street;private;PK-12;1273;N/A;;/new-york/new-york/5182-Columbia-Grammar--Preparatory-School/
Corlears School;;;324 West 15th Street;private;PK-5;151;N/A;;/new-york/new-york/5183-Corlears-School/
York Prep School;;;40 West 68th Street;private;6-12;337;N/A;;/new-york/new-york/5185-York-Prep-School/
Lycee Francais De New York;;;505 East 75th Street;private;PK-12;1364;N/A;;/new-york/new-york/5201-Lycee-Francais-De-New-York/
Rabbi Arthur Schneier Park East Day School;;;164 East 68th Street;private;PK-8;264;N/A;;/new-york/new-york/5218-Rabbi-Arthur-Schneier-Park-East-Day-School/
Rodeph Sholom School;;;10 West 84th Street;private;PK-8;434;N/A;;/new-york/new-york/5223-Rodeph-Sholom-School/
Dalton School;;;108 East 89th Street;private;K-12;1313;N/A;;/new-york/new-york/5237-Dalton-School/
The Beekman School;;;220 East 50th Street;private;9-12;71;N/A;;/new-york/new-york/5245-The-Beekman-School/
Village Community School;;;272 West 10th Street;private;K-8;339;N/A;;/new-york/new-york/5249-Village-Community-School/
Trinity School;;;139 West 91st Street;private;K-12;1001;N/A;;/new-york/new-york/5261-Trinity-School/
Northeastern Academy;;;532 West 215th Street;private;9-12;60;N/A;;/new-york/new-york/5292-Northeastern-Academy/
Northside Therapeutic Early Childhood Center;;;1301 5th Avenue;private;PK-2;76;N/A;;/new-york/new-york/5293-Northside-Therapeutic-Early-Childhood-Center/
St Ignatius Loyola School;;;48 East 84th Street;private;K-8;547;N/A;;/new-york/new-york/5311-St-Ignatius-Loyola-School/
Marymount School of NY;;;1026 5th Ave;private;PK, K-12;0;N/A;;/new-york/new-york/5317-Marymount-School-Of-NY/
St. Jean Baptiste High School;;;173 East 75th Street;private;9-12;338;N/A;;/new-york/new-york/5319-St.-Jean-Baptiste-High-School/
St. Anthonys School;;;60 Mac Dougal Street;private;Ungraded;0;N/A;;/new-york/new-york/5320-St.-Anthonys-School/
Ramaz School;;;60 E 78th St;private;9-12;0;N/A;;/new-york/new-york/5330-Ramaz-School/
Anglo American International School;;;291 Central Park W;private;K-12;0;N/A;;/new-york/new-york/5331-Anglo-American-International-School/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
The Child School;;;587 Main Street;private;K-12;340;N/A;;/new-york/new-york/5426-The-Child-School/
Manhattan Christian Academy;;;401 West 205th Street;private;PK-8;249;N/A;;/new-york/new-york/5427-Manhattan-Christian-Academy/
United Nations International School;;;24-50 FDR DR;private;PK-12;1615;N/A;;/new-york/jamaica/5430-United-Nations-International-School/
Nativity Mission School;;;204 Forsyth Street;private;8;16;N/A;;/new-york/new-york/5456-Nativity-Mission-School/
Abraham Joshua Heschel High School;;;20 West End Avenue;private;PK-12;957;N/A;;/new-york/new-york/5463-Abraham-Joshua-Heschel-High-School/
Storefront Academy Harlem (formerly The Children's Storefront);;;70 East 129th Street;private;PK-8;145;N/A;;/new-york/new-york/5499-Storefront-Academy-Harlem-Formerly-The-Childrens-Storefront/
Childs Memorial Christian Academy;;;1763 Amsterdam Ave;private;PK, K-8;0;N/A;;/new-york/new-york/5501-Childs-Memorial-Christian-Academy/
De la Salle Academy;;;332 West 43rd Street;private;6-8;159;N/A;;/new-york/new-york/5515-De-La-Salle-Academy/
The Family School;;;323 E 47th St;private;PK, K-6;0;N/A;;/new-york/new-york/5528-The-Family-School/
Fellowship Of Learning School;;;9 West 130th Street;private;7-8;2;N/A;;/new-york/new-york/5529-Fellowship-Of-Learning-School/
Highway Christian Academy;;;132 E 111th St;private;PK, K-7;0;N/A;;/new-york/new-york/5554-Highway-Christian-Academy/
Mesivta Rabbi Samson Raphael Hirsch;;;220 Bennett Avenue;private;8-12;58;N/A;;/new-york/new-york/5586-Mesivta-Rabbi-Samson-Raphael-Hirsch/
New World Educational Center;;;259 10th Avenue;private;PK-12;30;N/A;;/new-york/queens/5608-New-World-Educational-Center/
St Spyridon Parochial School;;;120 Wadsworth Avenue New York, N.Y. 10033;private;PK, K-8;155;N/A;;/new-york/new-york/5647-St-Spyridon-Parochial-School/
St Thomas Choir School;;;202 West 58th Street;private;3-8;24;N/A;;/new-york/new-york/5649-St-Thomas-Choir-School/
The Studio School;;;117 West 95th Street;private;PK-8;88;N/A;;/new-york/new-york/5651-The-Studio-School/
Clara Mohammed School;;;102 W 116 St;private;PK, K-6;0;N/A;;/new-york/new-york/5696-Clara-Mohammed-School/
La Scuola D Italia Guglielmo Marconi;;;12 East 96th Street;private;PK-12;167;N/A;;/new-york/new-york/5722-La-Scuola-D-Italia-Guglielmo-Marconi/
Beit Rabban;;;15 West 86th Street;private;PK-5;114;N/A;;/new-york/new-york/5733-Beit-Rabban/
Aichhorn School;;;23-25 W 106th St;private;9-12;0;N/A;;/new-york/new-york/5744-Aichhorn-School/
Cornelia Connelly Center;;;220 East 4th Street;private;4-8;90;N/A;;/new-york/new-york/5759-Cornelia-Connelly-Center/
Manhattan High School For Girls;;;154 East 70th Street;private;9-12;204;N/A;;/new-york/new-york/5769-Manhattan-High-School-For-Girls/
East Harlem School At Exodus House;;;309 East 103rd Street;private;4-8;137;N/A;;/new-york/new-york/5809-East-Harlem-School-At-Exodus-House/
The Moore Learning Center;;;614 West 157 Street;private;PK, K-5;0;N/A;;/new-york/new-york/5828-The-Moore-Learning-Center/
Solomon Schechter School Of Manhattan;;;805 Columbus Avenue;private;K-8;128;N/A;;/new-york/new-york/5842-Solomon-Schechter-School-Of-Manhattan/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Winston Preparatory School;;;126 West 17th Street;private;5-12;236;N/A;;/new-york/new-york/5893-Winston-Preparatory-School/
Ecfs;;;33 Central Park West;private;PK-5;262;N/A;;/new-york/bronx/5907-Ethical-Culture-Fieldston-School/
Yeshiva Ketana Of Manhattan;;;346 West 89th Street;private;PK-8;120;N/A;;/new-york/new-york/5929-Yeshiva-Ketana-Of-Manhattan/
Trevor Day School;;;312 East 95th Street;private;PK-12;745;N/A;;/new-york/new-york/6007-Trevor-Day-School/
Birch Wathen Lenox School;;;210 East 77th Street;private;K-12;576;N/A;;/new-york/new-york/6009-Birch-Wathen-Lenox-School/
The Calhoun School;;;433 W End Ave;private;PK, K-12;0;N/A;;/new-york/new-york/6012-The-Calhoun-School/
Holy Name Of Jesus School;;;202 West 97th Street;private;PK, K-8;272;N/A;;/new-york/new-york/6027-Holy-Name-Of-Jesus-School/
Mesivta Tifereth Jerusalem;;;145 East Broadway;private;K-12;154;N/A;;/new-york/new-york/6045-Mesivta-Tifereth-Jerusalem/
Buckley School;;;113 East 73rd Street;private;K-9;374;N/A;;/new-york/new-york/6053-Buckley-School/
St. Davids School;;;12 E 89th St;private;PK, K-8;0;N/A;;/new-york/new-york/6065-St.-Davids-School/
King's Academy;;;2345 3rd Ave;private;PK, K-8;0;N/A;;/new-york/new-york/6069-Kings-Academy/
The Geneva School of Manhattan;;;138 West 90th Street;private;PK-8;176;N/A;;/new-york/new-york/6132-The-Geneva-School-Of-Manhattan/
Metropolitan Montessori School;;;325 West 85th Street;private;PK-6;182;N/A;;/new-york/new-york/6151-Metropolitan-Montessori-School/
Calhoun School;;;433 West End Avenue;private;PK-12;680;N/A;;/new-york/new-york/6221-Calhoun-School/
John V Lindsay Wildcat Academy Charter School;;;17 Battery Place;charter;9-12;472;21;John V Lindsay Wildcat Academy Charter School;/new-york/new-york/6395-John-V-Lindsay-Wildcat-Academy-Charter-School/
Parkside School;;;48 West 74th Street;private;Ungraded;82;N/A;;/new-york/new-york/7244-Parkside-School/
The Chapin School Ltd;;;100 East End Avenue;private;TK-12;793;N/A;;/new-york/new-york/7257-The-Chapin-School-Ltd/
Cooke School;;;475 Riverside Drive;private;K-12;315;N/A;;/new-york/new-york/7260-Cooke-Center-For-Learning--Development/
The Family School West;;;308 West 46th Street;private;PK, K;0;N/A;;/new-york/new-york/7273-The-Family-School-West/
Talmud Torah Tashbar;;;128 Franklin Avenue;private;PK, K-10;331;N/A;;/new-york/new-york/7321-Talmud-Torah-Tashbar/
The Washington Market School;;;55 Hudson St;private;PK, K;0;N/A;;/new-york/new-york/7335-The-Washington-Market-School/
All Souls School;;;1157 Lexington Avenue;private;PK, K;142;N/A;;/new-york/new-york/7353-All-Souls-School/
Ideal Islamic School;;;31-29 12th Street;private;PK, K-6;41;N/A;;/new-york/new-york/7369-Ideal-Islamic-School/
The Transfiguration Kindergarten School;;;10 Confucius Plaza Bsmt 1 Lower Level;private;PK, K;211;N/A;;/new-york/new-york/7387-The-Transfiguration-Kindergarten-School/
Nazareth Nursery;;;216 West 15th Street;private;PK, K;55;N/A;;/new-york/new-york/7388-Nazareth-Nursery/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Morningside Montessori Pre-School;;;251 West 100th Street, 6th Floor;private;PK;0;N/A;;/new-york/new-york/7396-Morningside-Montessori-Pre-School/
Brick Church School;;;62 East 92nd Street;private;PK-TK;163;N/A;;/new-york/new-york/7400-Brick-Church-School/
Horace Mann Nursery School;;;55 East 90th Street;private;PK, K;0;N/A;;/new-york/new-york/7401-Horace-Mann-Nursery-School/
Ucp Brooklyn Childrens Program;;;175 Lawrence Avenue;private;Ungraded;108;N/A;;/new-york/new-york/7438-Ucp-Brooklyn-Childrens-Program/
Grace Church School;;;254 Hicks Street;private;PK, K;158;N/A;;/new-york/new-york/7449-Grace-Church-School/
Bloomingdale Day Care;;;125 West 109th Street;private;PK;0;N/A;;/new-york/new-york/7458-Bloomingdale-Day-Care/
West Side Montessori School;;;309 West 92nd Street;private;PK-K;234;N/A;;/new-york/new-york/7474-West-Side-Montessori-School/
Reece School;;;25 East 104th Street;private;Ungraded;123;N/A;;/new-york/new-york/7531-Reece-School/
John A Coleman School;;;590 Avenue of the Americas;private;Ungraded;210;N/A;;/new-york/new-york/7579-John-A-Coleman-School/
Stephen Gaynor School;;;148 West 90th Street;private;Ungraded;390;N/A;;/new-york/new-york/7584-Stephen-Gaynor-School/
Ramaz School;;;60 East 78th Street;private;9-12;384;N/A;;/new-york/new-york/7630-Ramaz-School/
Smith School (The);;;131 W 86TH ST # FL9;private;7-12;33;N/A;;/new-york/new-york/7643-Smith-School-The/
The Lorge School;;;353 West 17th Street;private;Ungraded;96;N/A;;/new-york/new-york/7649-The-Lorge-School/
Ps 811 Mickey Mantle School;;;466 West End Avenue;public;PK, K-8 & Ungraded;359;4;Nyc Special Schools - District 75;/new-york/new-york/7818-Ps-811-Mickey-Mantle-School/
Ps 721 Manhattan Occupational Training Center;;;250 West Houston Street;public;6-12 & Ungraded;197;5;Nyc Special Schools - District 75;/new-york/new-york/7820-Ps-721-Manhattan-Occupational-Training-Center/
Ps 169 Robert F Kennedy;;;110 E 88TH ST;public;K-9, 11-12 & Ungraded;357;4;Nyc Special Schools - District 75;/new-york/new-york/7828-Ps-169-Robert-F-Kennedy/
Ps 226;;;345 East 15th Street;public;PK, K-12 & Ungraded;294;15;Nyc Special Schools - District 75;/new-york/new-york/7829-Ps-226/
Ps 35;;;317 West 52nd Street;public;4-12 & Ungraded;290;N/A;Nyc Special Schools - District 75;/new-york/new-york/7840-Ps-35/
American Sign Language & English Secondary School;;;223 East 23rd Street;public;9-12 & Ungraded;198;8;New York City Geographic District # 2;/new-york/new-york/7846-American-Sign-Language--English-Secondary-School/
Ps 94;;;55 Battery Place;public;K-12 & Ungraded;409;3;Nyc Special Schools - District 75;/new-york/new-york/7859-Ps-94/
Ps 138;;;144 East 128th Street;public;PK, K-12 & Ungraded;601;4;Nyc Special Schools - District 75;/new-york/new-york/7862-Ps-138/
Ps 79 Horan School;;;55 East 120th Street;public;6-12 & Ungraded;262;N/A;Nyc Special Schools - District 75;/new-york/new-york/7865-Ps-79-Horan-School/
Hunter College High School;;;71 East 94th Street;public;7-12;0;N/A;Nyc Chancellor's Office;/new-york/new-york/7949-Hunter-College-High-School/
St George Academy;;;215 East 6th Street;private;9-12;82;N/A;;/new-york/new-york/7954-St-George-Academy/
Ascension School;;;220 West 108th Street;private;PK-8;262;N/A;;/new-york/new-york/7956-Ascension-School/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
St George Elementary School;;;215 East 6th Street;private;PK, K-8;47;N/A;;/new-york/new-york/7971-St-George-Elementary-School/
Harlem International Community;;;421 W 145th St;private;9-12;0;N/A;;/new-york/new-york/8005-Harlem-International-Community/
French-Japanese Edu Institute of Ny;;;225 East 43rd Street;private;PK-12;197;N/A;;/new-york/new-york/8020-Lyceum-Kennedy-French-American-School/
Riverside Early Learning Center;;;202 Riverside Drive;private;PK, K;0;N/A;;/new-york/new-york/8036-Riverside-Early-Learning-Center/
The Riverside Church Weekday School;;;490 Riverside Drive;private;PK-K;19;N/A;;/new-york/new-york/8037-The-Riverside-Church-Weekday-School/
St. Francis De Sales;;;116 E 97th Street;private;PK, K-8;0;N/A;;/new-york/new-york/8040-St.-Francis-De-Sales/
School for Young Performers;;;222 Broadway;private;K-12;8;N/A;;/new-york/new-york/8043-School-For-Young-Performers/
LREI Lower and Middle School;;;272 6th Avenue;private;PK-12;0;N/A;;/new-york/new-york/8079-LREI/
St Demitrios Astoria School;;;2230 33rd Street;private;PK, K-12;575;N/A;;/new-york/new-york/8135-St-Demitrios-Astoria-School/
Scholar Skills Christian Academy;;;4705 Avenue N;private;3-11;23;N/A;;/new-york/new-york/8173-Scholar-Skills-Christian-Academy/
Knowledge And Power Prep Academy Iv;;;6 Edgecombe Avenue;public;6-8;141;9;New York City Geographic District # 5;/new-york/new-york/8317-Knowledge-And-Power-Prep-Academy-Iv/
Aaron School;;;309 East 45th Street;private;K-12;169;N/A;;/new-york/new-york/8473-Aaron-School/
Abraham Joshua Heschel High School;;;30 West End Avenue;private;PK-12;935;N/A;;/new-york/new-york/8474-Abraham-Joshua-Heschel-High-School/
Anglo-American International School (The);;;18 W 89th St;private;11-12;0;N/A;;/new-york/new-york/8484-Anglo-American-International-School-The/
Leman Manhattan Preparatory School;;;41 Broad Street;private;PK-12;853;N/A;;/new-york/new-york/8523-Leman-Manhattan-Preparatory-School/
Cristo Rey New York High School;;;112 East 106th Street;private;9-12;377;N/A;;/new-york/new-york/8531-Cristo-Rey-New-York-High-School/
Downtown Little School;;;15 Dutch Street;private;PK, K-6;0;N/A;;/new-york/new-york/8539-Downtown-Little-School/
Great Tomorrows USA School;;;38 W 123rd St;private;K-11;0;N/A;;/new-york/new-york/8559-Great-Tomorrows-USA-School/
J G B Education Services;;;15 W 65th St;private;Ungraded;0;N/A;;/new-york/new-york/8580-J-G-B-Education-Services/
Nysarc - NYC Chapter;;;83 Maiden Ln;private;Ungraded;0;N/A;;/new-york/new-york/8638-Nysarc---NYC-Chapter/
Harlem Academy;;;1330 5th Avenue;private;1-8;116;N/A;;/new-york/new-york/8698-Harlem-Academy/
United Nations International School;;;24-50 Fdr Dr;private;PK, K-12;0;N/A;;/new-york/new-york/8707-United-Nations-International-School/
UCP of NYC;;;80 Maiden Ln;private;Ungraded;0;N/A;;/new-york/new-york/8709-UCP-Of-NYC/
West End Day School;;;255 West 71st Street;private;Ungraded;47;N/A;;/new-york/new-york/8718-West-End-Day-School/
Rebecca School;;;40 E 30 St;private;Ungraded;0;N/A;;/new-york/new-york/8857-Rebecca-School/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
British International School of NY;;;20 Waterside Plaza;private;PK, K-8;0;N/A;;/new-york/new-york/8858-British-International-School-Of-NY/
The Ideal School of Manhattan;;;314 West 91st Street;private;K-12;208;N/A;;/new-york/new-york/8861-The-Ideal-School-Of-Manhattan/
Reece School;;;25 E 104th St;private;Ungraded;0;N/A;;/new-york/new-york/8863-Reece-School/
Academy For Social Action A College Board School;;;509 West 129th Street;public;8-12;85;7;New York City Geographic District # 5;/new-york/new-york/8972-Academy-For-Social-Action-A-College-Board-School/
The Manhattan Children's Center;;;124 W 95th St;private;Ungraded;0;N/A;;/new-york/new-york/9036-The-Manhattan-Childrens-Center/
Fresh Youth Initiatives Bf/Aft;;;505 West 171st Street;private;PK;0;N/A;;/new-york/new-york/16039-Fresh-Youth-Initiatives-Bf-Aft/
Alicia's Day Care;;;559 West 191st Street;private;PK;0;N/A;;/new-york/new-york/16040-Alicias-Day-Care/







